"County","Facility ID","Facility Name","Utility","Type","FlowMGD","Grouping"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Permitted Capacity",0.5,"Facility Information"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Total WW Flow",0.4,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Total Reuse",0.4,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Industrial",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Recharge/ RIBS",0.4,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Surface Water",NA,"2020 Disposal"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","Deep Well Injection",NA,"2020 Disposal"
"Citrus","FLA011844","Citrus County - Brentwood","Citrus County","IPR",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Permitted Capacity",2,"Facility Information"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Total WW Flow",0.7,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Total Reuse",0.68,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Golf Courses",0.37,"2020 Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Industrial",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Recharge/ RIBS",0.3,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Surface Water",NA,"2020 Disposal"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","Deep Well Injection",NA,"2020 Disposal"
"Citrus","FLA011845","Citrus County - Meadowcrest","Citrus County","IPR",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Permitted Capacity",0.04,"Facility Information"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Total WW Flow",0.02,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Total Reuse",0.01,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Golf Courses",0.01,"2020 Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Industrial",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Recharge/ RIBS",0.01,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Surface Water",NA,"2020 Disposal"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","Deep Well Injection",NA,"2020 Disposal"
"Citrus","FLA011893","Citrus County - Point O' Woods","Citrus County","IPR",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Permitted Capacity",1.5,"Facility Information"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Total WW Flow",0.69,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Total Reuse",0,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Industrial",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Recharge/ RIBS",0.69,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Surface Water",NA,"2020 Disposal"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","Deep Well Injection",NA,"2020 Disposal"
"Citrus","FLA011903","Citrus County - Sugarmill Woods","Citrus County","IPR",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Permitted Capacity",1.5,"Facility Information"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Total WW Flow",0.66,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Total Reuse",0.3,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011848","Crystal River","Crystal River, City of","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Industrial",0.3,"2020 Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Sprayfields",0.36,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Surface Water",NA,"2020 Disposal"
"Citrus","FLA011848","Crystal River","Crystal River, City of","Deep Well Injection",NA,"2020 Disposal"
"Citrus","FLA011848","Crystal River","Crystal River, City of","IPR",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","Permitted Capacity",1.5,"Facility Information"
"Citrus","FLA011847","Inverness","Inverness, City of","Total WW Flow",0.53,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011847","Inverness","Inverness, City of","Total Reuse",0.2,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011847","Inverness","Inverness, City of","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011847","Inverness","Inverness, City of","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011847","Inverness","Inverness, City of","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011847","Inverness","Inverness, City of","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Citrus","FLA011847","Inverness","Inverness, City of","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","Golf Courses",0.2,"2020 Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","Industrial",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","Sprayfields",0.33,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Citrus","FLA011847","Inverness","Inverness, City of","Surface Water",NA,"2020 Disposal"
"Citrus","FLA011847","Inverness","Inverness, City of","Deep Well Injection",NA,"2020 Disposal"
"Citrus","FLA011847","Inverness","Inverness, City of","IPR",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Permitted Capacity",8,"Facility Information"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Total WW Flow",1.01,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Total Reuse",1.01,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012036","Brooksville","Brooksville, City of","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Res Irrig/ Landscape",0.13,"2020 Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Golf Courses",0.12,"2020 Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Industrial",0.76,"2020 Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Surface Water",NA,"2020 Disposal"
"Hernando","FLA012036","Brooksville","Brooksville, City of","Deep Well Injection",NA,"2020 Disposal"
"Hernando","FLA012036","Brooksville","Brooksville, City of","IPR",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Permitted Capacity",3.5,"Facility Information"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Total WW Flow",1.64,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Total Reuse",0,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Industrial",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Recharge/ RIBS",1.64,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Surface Water",NA,"2020 Disposal"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","Deep Well Injection",NA,"2020 Disposal"
"Hernando","FLA017223","Hernando County - Airport","Hernando County","IPR",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Permitted Capacity",0.75,"Facility Information"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Total WW Flow",0.19,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Total Reuse",0,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Industrial",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Recharge/ RIBS",0.19,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Surface Water",NA,"2020 Disposal"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","Deep Well Injection",NA,"2020 Disposal"
"Hernando","FLA012028","Hernando County - Brookridge","Hernando County","IPR",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Permitted Capacity",3,"Facility Information"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Total WW Flow",1.05,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Total Reuse",0,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Industrial",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Recharge/ RIBS",1.05,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Surface Water",NA,"2020 Disposal"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","Deep Well Injection",NA,"2020 Disposal"
"Hernando","FLA012069","Hernando County - Glenn","Hernando County","IPR",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Permitted Capacity",0.75,"Facility Information"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Total WW Flow",0.25,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Total Reuse",0,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Industrial",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","Recharge/ RIBS",0.25,"2020 Non-Beneficial Reuse by Category"
"Hernando","FLA012031","Hernando County - Ridge Manor","Hernando County","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
