"County","Facility Name","Grouping","Entry","Value"
"Citrus","Citrus County - Point O' Woods","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.01
"Citrus","Citrus County - Sugarmill Woods","Total Service Area Population","2020",9721
"Citrus","Citrus County - Sugarmill Woods","Total Service Area Population","2045",10784
"Citrus","Citrus County - Sugarmill Woods","Septic Population","2020",14
"Citrus","Citrus County - Sugarmill Woods","Septic Population","2045",14
"Citrus","Citrus County - Sugarmill Woods","Adjusted Service Area Population","2020",9707
"Citrus","Citrus County - Sugarmill Woods","Adjusted Service Area Population","2045",10770
"Citrus","Citrus County - Sugarmill Woods","Adjusted Service Area Population","2020-2045 Population Increase",1063
"Citrus","Citrus County - Sugarmill Woods","2020 Totals","Total WW Flows (MGD)",0.69
"Citrus","Citrus County - Sugarmill Woods","2020 Totals","Total Reuse (MGD)",NA
"Citrus","Citrus County - Sugarmill Woods","2020 Totals","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Sugarmill Woods","2020 Totals","WW Disposal (MGD)",NA
"Citrus","Citrus County - Sugarmill Woods","2045 Projected Additional","WW Flow Projection (MGD)",0.07
"Citrus","Citrus County - Sugarmill Woods","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Sugarmill Woods","2045 Projected Totals","Total WW Flows (MGD)",0.77
"Citrus","Citrus County - Sugarmill Woods","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Citrus","Citrus County - Sugarmill Woods","2045 Projected Totals","Total Reuse (MGD)",0.07
"Citrus","Citrus County - Sugarmill Woods","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.06
"Citrus","Crystal River","Total Service Area Population","2020",3152
"Citrus","Crystal River","Total Service Area Population","2045",3848
"Citrus","Crystal River","Septic Population","2020",9
"Citrus","Crystal River","Septic Population","2045",9
"Citrus","Crystal River","Adjusted Service Area Population","2020",3143
"Citrus","Crystal River","Adjusted Service Area Population","2045",3839
"Citrus","Crystal River","Adjusted Service Area Population","2020-2045 Population Increase",696
"Citrus","Crystal River","2020 Totals","Total WW Flows (MGD)",0.66
"Citrus","Crystal River","2020 Totals","Total Reuse (MGD)",0.3
"Citrus","Crystal River","2020 Totals","Supplemental Flows (MGD)",NA
"Citrus","Crystal River","2020 Totals","WW Disposal (MGD)",NA
"Citrus","Crystal River","2045 Projected Additional","WW Flow Projection (MGD)",0.05
"Citrus","Crystal River","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Citrus","Crystal River","2045 Projected Totals","Total WW Flows (MGD)",0.71
"Citrus","Crystal River","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Citrus","Crystal River","2045 Projected Totals","Total Reuse (MGD)",0.35
"Citrus","Crystal River","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.26
"Citrus","Inverness","Total Service Area Population","2020",7267
"Citrus","Inverness","Total Service Area Population","2045",9386
"Citrus","Inverness","Septic Population","2020",412
"Citrus","Inverness","Septic Population","2045",414
"Citrus","Inverness","Adjusted Service Area Population","2020",6855
"Citrus","Inverness","Adjusted Service Area Population","2045",8972
"Citrus","Inverness","Adjusted Service Area Population","2020-2045 Population Increase",2117
"Citrus","Inverness","2020 Totals","Total WW Flows (MGD)",0.53
"Citrus","Inverness","2020 Totals","Total Reuse (MGD)",0.2
"Citrus","Inverness","2020 Totals","Supplemental Flows (MGD)",NA
"Citrus","Inverness","2020 Totals","WW Disposal (MGD)",NA
"Citrus","Inverness","2045 Projected Additional","WW Flow Projection (MGD)",0.15
"Citrus","Inverness","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Citrus","Inverness","2045 Projected Totals","Total WW Flows (MGD)",0.68
"Citrus","Inverness","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Citrus","Inverness","2045 Projected Totals","Total Reuse (MGD)",0.35
"Citrus","Inverness","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.26
"Hernando","Brooksville","Total Service Area Population","2020",13393
"Hernando","Brooksville","Total Service Area Population","2045",18923
"Hernando","Brooksville","Septic Population","2020",1120
"Hernando","Brooksville","Septic Population","2045",1469
"Hernando","Brooksville","Adjusted Service Area Population","2020",12272
"Hernando","Brooksville","Adjusted Service Area Population","2045",17454
"Hernando","Brooksville","Adjusted Service Area Population","2020-2045 Population Increase",5181
"Hernando","Brooksville","2020 Totals","Total WW Flows (MGD)",1.01
"Hernando","Brooksville","2020 Totals","Total Reuse (MGD)",1.01
"Hernando","Brooksville","2020 Totals","Supplemental Flows (MGD)",NA
"Hernando","Brooksville","2020 Totals","WW Disposal (MGD)",NA
"Hernando","Brooksville","2045 Projected Additional","WW Flow Projection (MGD)",0.36
"Hernando","Brooksville","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Hernando","Brooksville","2045 Projected Totals","Total WW Flows (MGD)",1.37
"Hernando","Brooksville","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Hernando","Brooksville","2045 Projected Totals","Total Reuse (MGD)",1.37
"Hernando","Brooksville","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",1.03
"Hernando","Hernando County - Airport","Total Service Area Population","2020",138288
"Hernando","Hernando County - Airport","Total Service Area Population","2045",151104
"Hernando","Hernando County - Airport","Septic Population","2020",68785
"Hernando","Hernando County - Airport","Septic Population","2045",68867
"Hernando","Hernando County - Airport","Adjusted Service Area Population","2020",69503
"Hernando","Hernando County - Airport","Adjusted Service Area Population","2045",82237
"Hernando","Hernando County - Airport","Adjusted Service Area Population","2020-2045 Population Increase",12734
"Hernando","Hernando County - Airport","2020 Totals","Total WW Flows (MGD)",1.64
"Hernando","Hernando County - Airport","2020 Totals","Total Reuse (MGD)",NA
"Hernando","Hernando County - Airport","2020 Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Airport","2020 Totals","WW Disposal (MGD)",NA
"Hernando","Hernando County - Airport","2045 Projected Additional","WW Flow Projection (MGD)",0.88
"Hernando","Hernando County - Airport","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Airport","2045 Projected Totals","Total WW Flows (MGD)",2.53
"Hernando","Hernando County - Airport","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Airport","2045 Projected Totals","Total Reuse (MGD)",0.88
"Hernando","Hernando County - Airport","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.66
"Hernando","Hernando County - Brookridge","Total Service Area Population","2020",NA
"Hernando","Hernando County - Brookridge","Total Service Area Population","2045",NA
"Hernando","Hernando County - Brookridge","Septic Population","2020",NA
"Hernando","Hernando County - Brookridge","Septic Population","2045",NA
"Hernando","Hernando County - Brookridge","Adjusted Service Area Population","2020",NA
"Hernando","Hernando County - Brookridge","Adjusted Service Area Population","2045",NA
"Hernando","Hernando County - Brookridge","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Hernando","Hernando County - Brookridge","2020 Totals","Total WW Flows (MGD)",0.19
"Hernando","Hernando County - Brookridge","2020 Totals","Total Reuse (MGD)",NA
"Hernando","Hernando County - Brookridge","2020 Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Brookridge","2020 Totals","WW Disposal (MGD)",NA
"Hernando","Hernando County - Brookridge","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Hernando","Hernando County - Brookridge","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Brookridge","2045 Projected Totals","Total WW Flows (MGD)",0.19
"Hernando","Hernando County - Brookridge","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Brookridge","2045 Projected Totals","Total Reuse (MGD)",NA
"Hernando","Hernando County - Brookridge","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",NA
"Hernando","Hernando County - Glenn","Total Service Area Population","2020",NA
"Hernando","Hernando County - Glenn","Total Service Area Population","2045",NA
"Hernando","Hernando County - Glenn","Septic Population","2020",NA
"Hernando","Hernando County - Glenn","Septic Population","2045",NA
"Hernando","Hernando County - Glenn","Adjusted Service Area Population","2020",NA
"Hernando","Hernando County - Glenn","Adjusted Service Area Population","2045",NA
"Hernando","Hernando County - Glenn","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Hernando","Hernando County - Glenn","2020 Totals","Total WW Flows (MGD)",1.05
"Hernando","Hernando County - Glenn","2020 Totals","Total Reuse (MGD)",NA
"Hernando","Hernando County - Glenn","2020 Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Glenn","2020 Totals","WW Disposal (MGD)",NA
"Hernando","Hernando County - Glenn","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Hernando","Hernando County - Glenn","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Glenn","2045 Projected Totals","Total WW Flows (MGD)",1.05
"Hernando","Hernando County - Glenn","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Glenn","2045 Projected Totals","Total Reuse (MGD)",NA
"Hernando","Hernando County - Glenn","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",NA
"Hernando","Hernando County - Ridge Manor","Total Service Area Population","2020",NA
"Hernando","Hernando County - Ridge Manor","Total Service Area Population","2045",NA
"Hernando","Hernando County - Ridge Manor","Septic Population","2020",NA
"Hernando","Hernando County - Ridge Manor","Septic Population","2045",NA
"Hernando","Hernando County - Ridge Manor","Adjusted Service Area Population","2020",NA
"Hernando","Hernando County - Ridge Manor","Adjusted Service Area Population","2045",NA
"Hernando","Hernando County - Ridge Manor","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Hernando","Hernando County - Ridge Manor","2020 Totals","Total WW Flows (MGD)",0.25
"Hernando","Hernando County - Ridge Manor","2020 Totals","Total Reuse (MGD)",NA
"Hernando","Hernando County - Ridge Manor","2020 Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Ridge Manor","2020 Totals","WW Disposal (MGD)",NA
"Hernando","Hernando County - Ridge Manor","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Hernando","Hernando County - Ridge Manor","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Ridge Manor","2045 Projected Totals","Total WW Flows (MGD)",0.25
"Hernando","Hernando County - Ridge Manor","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Ridge Manor","2045 Projected Totals","Total Reuse (MGD)",NA
"Hernando","Hernando County - Ridge Manor","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",NA
"Hernando","Hernando County - Spring Hill","Total Service Area Population","2020",NA
"Hernando","Hernando County - Spring Hill","Total Service Area Population","2045",NA
"Hernando","Hernando County - Spring Hill","Septic Population","2020",NA
"Hernando","Hernando County - Spring Hill","Septic Population","2045",NA
"Hernando","Hernando County - Spring Hill","Adjusted Service Area Population","2020",NA
"Hernando","Hernando County - Spring Hill","Adjusted Service Area Population","2045",NA
"Hernando","Hernando County - Spring Hill","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Hernando","Hernando County - Spring Hill","2020 Totals","Total WW Flows (MGD)",1.41
"Hernando","Hernando County - Spring Hill","2020 Totals","Total Reuse (MGD)",1.32
"Hernando","Hernando County - Spring Hill","2020 Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Spring Hill","2020 Totals","WW Disposal (MGD)",NA
"Hernando","Hernando County - Spring Hill","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Hernando","Hernando County - Spring Hill","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Spring Hill","2045 Projected Totals","Total WW Flows (MGD)",1.41
"Hernando","Hernando County - Spring Hill","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Hernando","Hernando County - Spring Hill","2045 Projected Totals","Total Reuse (MGD)",1.32
"Hernando","Hernando County - Spring Hill","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.99
"Levy","Williston","Total Service Area Population","2020",4610
"Levy","Williston","Total Service Area Population","2045",5634
"Levy","Williston","Septic Population","2020",559
"Levy","Williston","Septic Population","2045",566
"Levy","Williston","Adjusted Service Area Population","2020",4051
"Levy","Williston","Adjusted Service Area Population","2045",5068
"Levy","Williston","Adjusted Service Area Population","2020-2045 Population Increase",1017
"Levy","Williston","2020 Totals","Total WW Flows (MGD)",0.22
"Levy","Williston","2020 Totals","Total Reuse (MGD)",NA
"Levy","Williston","2020 Totals","Supplemental Flows (MGD)",NA
"Levy","Williston","2020 Totals","WW Disposal (MGD)",NA
"Levy","Williston","2045 Projected Additional","WW Flow Projection (MGD)",0.07
"Levy","Williston","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Levy","Williston","2045 Projected Totals","Total WW Flows (MGD)",0.29
"Levy","Williston","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Levy","Williston","2045 Projected Totals","Total Reuse (MGD)",0.07
"Levy","Williston","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.05
"Marion","FGUA - Dunnellon","Total Service Area Population","2020",6100
"Marion","FGUA - Dunnellon","Total Service Area Population","2045",7253
"Marion","FGUA - Dunnellon","Septic Population","2020",1636
"Marion","FGUA - Dunnellon","Septic Population","2045",1874
"Marion","FGUA - Dunnellon","Adjusted Service Area Population","2020",4465
"Marion","FGUA - Dunnellon","Adjusted Service Area Population","2045",5380
"Marion","FGUA - Dunnellon","Adjusted Service Area Population","2020-2045 Population Increase",915
"Marion","FGUA - Dunnellon","2020 Totals","Total WW Flows (MGD)",0.17
"Marion","FGUA - Dunnellon","2020 Totals","Total Reuse (MGD)",NA
"Marion","FGUA - Dunnellon","2020 Totals","Supplemental Flows (MGD)",NA
"Marion","FGUA - Dunnellon","2020 Totals","WW Disposal (MGD)",NA
"Marion","FGUA - Dunnellon","2045 Projected Additional","WW Flow Projection (MGD)",0.06
"Marion","FGUA - Dunnellon","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Marion","FGUA - Dunnellon","2045 Projected Totals","Total WW Flows (MGD)",0.24
"Marion","FGUA - Dunnellon","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Marion","FGUA - Dunnellon","2045 Projected Totals","Total Reuse (MGD)",0.06
"Marion","FGUA - Dunnellon","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.05
"Marion","Marion County - NW Regional","Total Service Area Population","2020",NA
"Marion","Marion County - NW Regional","Total Service Area Population","2045",NA
"Marion","Marion County - NW Regional","Septic Population","2020",NA
"Marion","Marion County - NW Regional","Septic Population","2045",NA
"Marion","Marion County - NW Regional","Adjusted Service Area Population","2020",NA
"Marion","Marion County - NW Regional","Adjusted Service Area Population","2045",NA
"Marion","Marion County - NW Regional","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Marion","Marion County - NW Regional","2020 Totals","Total WW Flows (MGD)",0.08
"Marion","Marion County - NW Regional","2020 Totals","Total Reuse (MGD)",0.08
"Marion","Marion County - NW Regional","2020 Totals","Supplemental Flows (MGD)",NA
"Marion","Marion County - NW Regional","2020 Totals","WW Disposal (MGD)",NA
"Marion","Marion County - NW Regional","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Marion","Marion County - NW Regional","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Marion","Marion County - NW Regional","2045 Projected Totals","Total WW Flows (MGD)",0.08
"Marion","Marion County - NW Regional","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Marion","Marion County - NW Regional","2045 Projected Totals","Total Reuse (MGD)",0.08
"Marion","Marion County - NW Regional","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.06
"Marion","Marion County - Oak Run","Total Service Area Population","2020",42193
"Marion","Marion County - Oak Run","Total Service Area Population","2045",60232
"Marion","Marion County - Oak Run","Septic Population","2020",17208
"Marion","Marion County - Oak Run","Septic Population","2045",17227
"Marion","Marion County - Oak Run","Adjusted Service Area Population","2020",24985
"Marion","Marion County - Oak Run","Adjusted Service Area Population","2045",43005
"Marion","Marion County - Oak Run","Adjusted Service Area Population","2020-2045 Population Increase",18020
"Marion","Marion County - Oak Run","2020 Totals","Total WW Flows (MGD)",0.92
"Marion","Marion County - Oak Run","2020 Totals","Total Reuse (MGD)",0.55
"Marion","Marion County - Oak Run","2020 Totals","Supplemental Flows (MGD)",NA
"Marion","Marion County - Oak Run","2020 Totals","WW Disposal (MGD)",NA
"Marion","Marion County - Oak Run","2045 Projected Additional","WW Flow Projection (MGD)",1.25
"Marion","Marion County - Oak Run","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Marion","Marion County - Oak Run","2045 Projected Totals","Total WW Flows (MGD)",2.17
"Marion","Marion County - Oak Run","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Marion","Marion County - Oak Run","2045 Projected Totals","Total Reuse (MGD)",1.79
"Marion","Marion County - Oak Run","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",1.35
"Marion","Ocala #3","Total Service Area Population","2020",NA
"Marion","Ocala #3","Total Service Area Population","2045",NA
"Marion","Ocala #3","Septic Population","2020",NA
"Marion","Ocala #3","Septic Population","2045",NA
"Marion","Ocala #3","Adjusted Service Area Population","2020",NA
"Marion","Ocala #3","Adjusted Service Area Population","2045",NA
"Marion","Ocala #3","Adjusted Service Area Population","2020-2045 Population Increase",NA
"Marion","Ocala #3","2020 Totals","Total WW Flows (MGD)",2.29
"Marion","Ocala #3","2020 Totals","Total Reuse (MGD)",2.29
"Marion","Ocala #3","2020 Totals","Supplemental Flows (MGD)",NA
"Marion","Ocala #3","2020 Totals","WW Disposal (MGD)",NA
"Marion","Ocala #3","2045 Projected Additional","WW Flow Projection (MGD)",NA
"Marion","Ocala #3","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Marion","Ocala #3","2045 Projected Totals","Total WW Flows (MGD)",2.29
"Marion","Ocala #3","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Marion","Ocala #3","2045 Projected Totals","Total Reuse (MGD)",2.29
"Marion","Ocala #3","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",1.71
"Marion","On Top of the World Ocala (Bay Laurel)","Total Service Area Population","2020",11862
"Marion","On Top of the World Ocala (Bay Laurel)","Total Service Area Population","2045",20742
"Marion","On Top of the World Ocala (Bay Laurel)","Septic Population","2020",633
"Marion","On Top of the World Ocala (Bay Laurel)","Septic Population","2045",4213
"Marion","On Top of the World Ocala (Bay Laurel)","Adjusted Service Area Population","2020",11229
"Marion","On Top of the World Ocala (Bay Laurel)","Adjusted Service Area Population","2045",16528
"Marion","On Top of the World Ocala (Bay Laurel)","Adjusted Service Area Population","2020-2045 Population Increase",5299
"Marion","On Top of the World Ocala (Bay Laurel)","2020 Totals","Total WW Flows (MGD)",0.66
"Marion","On Top of the World Ocala (Bay Laurel)","2020 Totals","Total Reuse (MGD)",0.49
"Marion","On Top of the World Ocala (Bay Laurel)","2020 Totals","Supplemental Flows (MGD)",NA
"Marion","On Top of the World Ocala (Bay Laurel)","2020 Totals","WW Disposal (MGD)",NA
"Marion","On Top of the World Ocala (Bay Laurel)","2045 Projected Additional","WW Flow Projection (MGD)",0.37
"Marion","On Top of the World Ocala (Bay Laurel)","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Marion","On Top of the World Ocala (Bay Laurel)","2045 Projected Totals","Total WW Flows (MGD)",1.03
"Marion","On Top of the World Ocala (Bay Laurel)","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Marion","On Top of the World Ocala (Bay Laurel)","2045 Projected Totals","Total Reuse (MGD)",0.85
"Marion","On Top of the World Ocala (Bay Laurel)","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.64
"Marion","FGUA - Dunellon/Rainbow Springs","Total Service Area Population","2020",3715
"Marion","FGUA - Dunellon/Rainbow Springs","Total Service Area Population","2045",4969
"Marion","FGUA - Dunellon/Rainbow Springs","Septic Population","2020",1102
"Marion","FGUA - Dunellon/Rainbow Springs","Septic Population","2045",1102
"Marion","FGUA - Dunellon/Rainbow Springs","Adjusted Service Area Population","2020",2614
"Marion","FGUA - Dunellon/Rainbow Springs","Adjusted Service Area Population","2045",3867
"Marion","FGUA - Dunellon/Rainbow Springs","Adjusted Service Area Population","2020-2045 Population Increase",1253
"Marion","FGUA - Dunellon/Rainbow Springs","2020 Totals","Total WW Flows (MGD)",0.14
"Marion","FGUA - Dunellon/Rainbow Springs","2020 Totals","Total Reuse (MGD)",NA
"Marion","FGUA - Dunellon/Rainbow Springs","2020 Totals","Supplemental Flows (MGD)",NA
"Marion","FGUA - Dunellon/Rainbow Springs","2020 Totals","WW Disposal (MGD)",NA
"Marion","FGUA - Dunellon/Rainbow Springs","2045 Projected Additional","WW Flow Projection (MGD)",0.09
"Marion","FGUA - Dunellon/Rainbow Springs","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Marion","FGUA - Dunellon/Rainbow Springs","2045 Projected Totals","Total WW Flows (MGD)",0.22
"Marion","FGUA - Dunellon/Rainbow Springs","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Marion","FGUA - Dunellon/Rainbow Springs","2045 Projected Totals","Total Reuse (MGD)",0.09
"Marion","FGUA - Dunellon/Rainbow Springs","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.07
"Sumter","Bushnell - Hanson","Total Service Area Population","2020",5252
"Sumter","Bushnell - Hanson","Total Service Area Population","2045",8511
"Sumter","Bushnell - Hanson","Septic Population","2020",1515
"Sumter","Bushnell - Hanson","Septic Population","2045",1638
"Sumter","Bushnell - Hanson","Adjusted Service Area Population","2020",3737
"Sumter","Bushnell - Hanson","Adjusted Service Area Population","2045",6873
"Sumter","Bushnell - Hanson","Adjusted Service Area Population","2020-2045 Population Increase",3136
"Sumter","Bushnell - Hanson","2020 Totals","Total WW Flows (MGD)",0.28
"Sumter","Bushnell - Hanson","2020 Totals","Total Reuse (MGD)",NA
"Sumter","Bushnell - Hanson","2020 Totals","Supplemental Flows (MGD)",NA
"Sumter","Bushnell - Hanson","2020 Totals","WW Disposal (MGD)",NA
"Sumter","Bushnell - Hanson","2045 Projected Additional","WW Flow Projection (MGD)",0.22
"Sumter","Bushnell - Hanson","2045 Projected Additional","Supplemental Flows (MGD)",NA
"Sumter","Bushnell - Hanson","2045 Projected Totals","Total WW Flows (MGD)",0.5
"Sumter","Bushnell - Hanson","2045 Projected Totals","Supplemental Flows (MGD)",NA
"Sumter","Bushnell - Hanson","2045 Projected Totals","Total Reuse (MGD)",0.22
"Sumter","Bushnell - Hanson","2045 Projected Totals","Beneficial Reuse at 75% (MGD)",0.16
