"County","Facility ID","Facility Name","Utility","Type","FlowMGD","Grouping"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0020338","Mulberry","Mulberry/TECO","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Industrial",0.28,"2020 Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Surface Water",NA,"2020 Disposal"
"Polk","FL0020338","Mulberry","Mulberry/TECO","Deep Well Injection",NA,"2020 Disposal"
"Polk","FL0020338","Mulberry","Mulberry/TECO","IPR",NA,"2020 Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Permitted Capacity",1.52,"Facility Information"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Total WW Flow",1.09,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Total Reuse",0.56,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Res Irrig/ Landscape",0.5,"2020 Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Golf Courses",0.07,"2020 Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Industrial",NA,"2020 Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Sprayfields",0.11,"2020 Non-Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Recharge/ RIBS",0,"2020 Non-Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Surface Water",NA,"2020 Disposal"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","Deep Well Injection",NA,"2020 Disposal"
"Polk","FLA178667","Polk County - Northwest Regional","Polk County - NWRUSA","IPR",NA,"2020 Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Permitted Capacity",4,"Facility Information"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Total WW Flow",2.14,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Total Reuse",1.96,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Supplemental Flow",0.26,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Transfers Out",0.19,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Res Irrig/ Landscape",1.08,"2020 Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Golf Courses",0.14,"2020 Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Industrial",0.74,"2020 Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Surface Water",NA,"2020 Disposal"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","Deep Well Injection",NA,"2020 Disposal"
"Polk","FLA012954","Polk County - Southwest Regional","Polk County - SWRUSA","IPR",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Permitted Capacity",30,"Facility Information"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Total WW Flow",16.89,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Total Reuse",11.2,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Res Irrig/ Landscape",10.29,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Golf Courses",0.83,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Ag Irrig",0.03,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Industrial",0.05,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Sprayfields",0.06,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","ATP/Other",1.34,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Surface Water",NA,"2020 Disposal"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","Deep Well Injection",NA,"2020 Disposal"
"Hillsborough","FL0041670","Hillsborough County - Northwest","Hillsborough Co - NW Master","IPR",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Permitted Capacity",1.7,"Facility Information"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Total WW Flow",1.33,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Total Reuse",0,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Industrial",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Surface Water",NA,"2020 Disposal"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","Deep Well Injection",NA,"2020 Disposal"
"Hillsborough","FLA012234","Hillsborough County - Van Dyke","Hillsborough Co - NW Master","IPR",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Permitted Capacity",12,"Facility Information"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Total WW Flow",9.88,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Total Reuse",14.2,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Res Irrig/ Landscape",7.02,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Golf Courses",1.82,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Industrial",2.26,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Wetlands",2.58,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Other Reuse",0.52,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Sprayfields",0.02,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","ATP/Other",0.68,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Surface Water",NA,"2020 Disposal"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","Deep Well Injection",NA,"2020 Disposal"
"Hillsborough","FL0040614","Hillsborough County - Falkenburg","Hillsborough Co - S/C Master","IPR",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Permitted Capacity",10,"Facility Information"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Total WW Flow",7.54,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Total Reuse",0,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Industrial",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Surface Water",NA,"2020 Disposal"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","Deep Well Injection",NA,"2020 Disposal"
"Hillsborough","FL0028061","Hillsborough County - South","Hillsborough Co - S/C Master","IPR",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Permitted Capacity",12,"Facility Information"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Total WW Flow",7.24,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Total Reuse",0,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Industrial",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Sprayfields",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Recharge/ RIBS",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Surface Water",NA,"2020 Disposal"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","Deep Well Injection",NA,"2020 Disposal"
"Hillsborough","FL0040983","Hillsborough County - Valrico","Hillsborough Co - S/C Master","IPR",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Permitted Capacity",1.2,"Facility Information"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Total WW Flow",0.65,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Total Reuse",0.55,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Res Irrig/ Landscape",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Golf Courses",0.55,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Industrial",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Wetlands",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Other Reuse",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Sprayfields",0.11,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Recharge/ RIBS",0.03,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","ATP/Other",NA,"2020 Non-Beneficial Reuse by Category"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Surface Water",NA,"2020 Disposal"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","Deep Well Injection",NA,"2020 Disposal"
"Hillsborough","FLA012124","MacDill AFB (FGUA)","MacDill AFB","IPR",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0026557","Plant City","Plant City","Permitted Capacity",10,"Facility Information"
"Hillsborough","FL0026557","Plant City","Plant City","Total WW Flow",4.47,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0026557","Plant City","Plant City","Total Reuse",0.74,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0026557","Plant City","Plant City","Supplemental Flow",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0026557","Plant City","Plant City","Transfers In",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0026557","Plant City","Plant City","Transfers Out",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0026557","Plant City","Plant City","WW Disposal",NA,"2020 Total Flow - Wastewater, Reuse, Transfers and Disposal"
"Hillsborough","FL0026557","Plant City","Plant City","Res Irrig/ Landscape",0.29,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0026557","Plant City","Plant City","Golf Courses",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0026557","Plant City","Plant City","Ag Irrig",NA,"2020 Beneficial Reuse by Category"
"Hillsborough","FL0026557","Plant City","Plant City","Industrial",0.17,"2020 Beneficial Reuse by Category"
